"entrez1","entrez2"
"2197","8428"
"2197","9045"
"2197","10092"
"2197","11224"
"2197","11337"
"2197","23521"
"2197","51160"
"2197","54948"
"2197","63875"
"2197","64951"
"2197","246721"
"2253","2637"
"2253","4487"
"2253","9355"
"2272","3094"
"2272","4191"
"2305","3833"
"2305","5347"
"2305","6241"
"2305","6667"
"2305","6774"
"2314","2771"
"2314","3315"
"2314","6129"
"2314","6181"
"2314","6203"
"2314","8841"
"2314","10095"
"2314","10514"
"2314","10726"
"2483","2962"
"2483","4478"
"2483","4869"
"2483","5093"
"2483","5685"
"2483","5688"
"2483","5692"
"2483","6124"
"2483","6135"
"2483","6141"
"2483","6161"
"2483","6166"
"2483","6167"
"2483","6168"
"2483","6203"
"2483","6228"
"2483","6241"
"2483","6418"
"2483","8175"
"2483","8554"
"2483","8841"
"2483","9045"
"2483","9219"
"2483","10200"
"2483","10726"
"2483","11224"
"2483","23198"
"2483","29894"
"2483","51010"
"2483","51690"
"2483","54623"
"2483","56259"
"2483","56949"
"2483","57819"
"2483","117246"
"2492","3360"
"2492","6344"
"2492","79924"
"2512","4656"
"2512","6175"
"2512","10200"
"2516","5307"
"2516","6604"
"2516","6667"
"2516","7067"
"2516","8554"
"2516","57187"
"2624","6688"
"2624","6774"
"2624","6886"
"2624","8841"
"2624","27033"
"2624","161882"
"2678","2730"
"2678","2937"
"2678","2944"
"2678","51380"
"2703","3982"
"2730","2937"
"2730","55748"
"2747","2783"
"2747","2997"
"2747","3418"
"2747","4191"
"2747","5230"
"2747","5685"
"2747","5688"
"2747","5692"
"2747","5704"
"2747","6241"
"2747","6391"
"2747","9377"
"2771","2782"
"2771","2783"
"2771","3055"
"2771","3265"
"2771","3833"
"2771","4637"
"2771","4869"
"2771","5093"
"2771","5094"
"2771","5230"
"2771","5347"
"2771","5479"
"2771","6129"
"2771","6175"
"2771","6203"
"2771","6667"
"2771","9189"
"2771","10076"
"2771","10092"
"2771","10095"
"2771","10636"
"2771","55114"
"2771","79031"
"2771","80736"
"2771","203068"
"2782","2783"
"2782","4141"
"2782","4478"
"2782","4841"
"2782","5094"
"2782","5184"
"2782","5230"
"2782","5347"
"2782","5479"
"2782","5533"
"2782","5688"
"2782","5692"
"2782","5704"
"2782","5878"
"2782","6124"
"2782","6129"
"2782","6132"
"2782","6134"
"2782","6135"
